beneficiaria_id,beneficiaria_nome,id,secretaria_id,secretaria_sigla,valor_recurso,valor_repasse
202,EDUCANDÁRIO ANÁLIA FRANCO,8334,19,SEDS,0.00,46574.86
480,SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO,8400,19,SEDS,0.00,61417.34
480,SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO,8405,19,SEDS,0.00,96360.49
181,CASA DO PARAPLÃ‰GICO DE SANTOS,8420,19,SEDS,0.00,60209.16
181,CASA DO PARAPLÃ‰GICO DE SANTOS,8429,19,SEDS,0.00,36224.41
120,APASEM - ASSOCIAÇÃO DE PROMOÇÃO E ASSISTÊNCIA SOCIAL ESTRELA DO MAR,8432,19,SEDS,0.00,200000
181,CASA DO PARAPLÃ‰GICO DE SANTOS,8450,19,SEDS,0.00,0
552,ASSOCIAÃ‡ÃƒO BENEFICENTE DE ASSISTÃŠNCIA SOCIAL AO EXCEPCIONAL - ABASE,8465,19,SEDS,0.00,50000
466,LAR DAS MOÇAS CEGAS,8495,13,SMS,0.00,84143.11
196,CONSELHO CENTRAL DE SANTOS DA SOCIEDADE SÃƒO VICENTE DE PAULO,8572,19,SEDS,0.00,27026.34
460,IHGS - INSTITUTO HISTÓRICO E GEOGRÁFICO DE SANTOS,8581,16,SECULT,0.00,30000
468,LAR ESPÍRITA MENSAGEIROS DA LUZ,8610,13,SMS,0.00,100594.24
203,EDUCANDÁRIO SANTISTA,8611,19,SEDS,0.00,72933.23
203,EDUCANDÁRIO SANTISTA,8612,19,SEDS,0.00,53671.92
471,MUSEU DE ARTE SACRA DE SANTOS - MASS,8613,16,SECULT,0.00,30000
118,APAE - ASSOCIAÃ‡ÃƒO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS,8618,19,SEDS,0.00,2341.4
118,APAE - ASSOCIAÃ‡ÃƒO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS,8619,19,SEDS,0.00,7604.86
468,LAR ESPÍRITA MENSAGEIROS DA LUZ,8625,19,SEDS,0.00,14216.92
169,ASSOCIAÇÃO EQUOTERAPIA,8626,13,SMS,0.00,137609.12
125,NAPNE - ASSOCIAÇÃO DOS PORTADORES DE DEFICIÊNCIA MENTAL,8627,13,SMS,0.00,24656
125,NAPNE - ASSOCIAÇÃO DOS PORTADORES DE DEFICIÊNCIA MENTAL,8628,13,SMS,0.00,0
194,CONCIDADANIA - CONSCIÃŠNCIA PELA CIDADANIA,8630,30,SEMULHER,0.00,0
194,CONCIDADANIA - CONSCIÃŠNCIA PELA CIDADANIA,8634,30,SEMULHER,0.00,0
5,ASILO DE INVÁLIDOS DE SANTOS,8638,19,SEDS,0.00,75694.37
674,CONFEDERAÃ‡ÃƒO BRASILEIRA DE SKATEBOARDING,8640,23,SEMES,0.00,120679.62
103,ASSOCIAÇÃO BRASILEIRA DE APOIO E COMBATE AO CÂNCER INFANTO JUVENIL - ABRACCII,8644,13,SMS,0.00,19950
453,GBMAR - GRUPAMENTO DE BOMBEIRO MARÍTIMO,8646,17,SESEG,0.00,6000
190,CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAÃ‡ÃƒO ESPECIAL SIMONE C HORCEL,8647,13,SMS,0.00,30000
560,INSTITUTO NACIONAL DE PESQUISA E GESTAO EM SAUDE - INSAUDE,8650,13,SMS,0.00,2015899.23
477,PRÓ SAÚDE ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA SOCIAL E HOSPITALAR,8651,13,SMS,0.00,500000
477,PRÓ SAÚDE ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA SOCIAL E HOSPITALAR,8653,13,SMS,0.00,2432435.64
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,8657,19,SEDS,0.00,3043.79
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,8658,19,SEDS,0.00,9886.27
