beneficiaria_id,beneficiaria_nome,id,secretaria_id,secretaria_sigla,valor_recurso,valor_repasse
190,CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAÃ‡ÃƒO ESPECIAL SIMONE C HORCEL,372,12,SEDUC,1409127.12,340138.08
203,EDUCANDÁRIO SANTISTA,595,19,SEDS,338190.88,28182.61
181,CASA DO PARAPLÃ‰GICO DE SANTOS,642,19,SEDS,228237.84,19019.82
196,CONSELHO CENTRAL DE SANTOS DA SOCIEDADE SÃƒO VICENTE DE PAULO,719,19,SEDS,215977.31,17998.11
549,FRATERNIDADE DE ALIANÇA TOCA DE ASSIS,742,19,SEDS,10000.00,10000
202,EDUCANDÁRIO ANÁLIA FRANCO,766,19,SEDS,372482.96,12543.22
202,EDUCANDÁRIO ANÁLIA FRANCO,784,19,SEDS,372482.96,18496.99
478,PRÃ“ VIVER OBRAS SOCIAIS E EDUCACIONAIS,808,19,SEDS,97285.18,8107.11
202,EDUCANDÁRIO ANÁLIA FRANCO,838,12,SEDUC,1661727.19,395649.32999999996
480,SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO,846,19,SEDS,283303.85,23608.7
181,CASA DO PARAPLÃ‰GICO DE SANTOS,876,19,SEDS,68770.46,5730.89
181,CASA DO PARAPLÃ‰GICO DE SANTOS,880,19,SEDS,158718.15,13226.54
480,SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO,892,19,SEDS,455749.67,37979.13
475,VIDAS RECICLADAS,928,19,SEDS,638542.24,53211.89
202,EDUCANDÁRIO ANÁLIA FRANCO,929,19,SEDS,405969.18,18496.99
495,SOCIEDADE PRÓ-MELHORAMENTOS DO BAIRRO JARDIM RADIO CLUBE,985,11,GPM,,10901.22
185,CAMPS - CENTRO DE APRENDIZAGEM E MOBILIZAÇÃO PROFISSIONAL E SOCIAL,997,10,SEGES,5681136.00,204015.63
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,1059,19,SEDS,112025.62,9335.45
543,SOCIEDADE DE MELHORAMENTOS DA VILA PROGRESSO,1078,11,GPM,,0
118,APAE - ASSOCIAÃ‡ÃƒO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS,1115,19,SEDS,86173.64,7181.21
126,ASSOCIAÇÃO EDUCACIONAL CULTURAL ESPORTIVA E RECREATIVA PROJETO TIA EGLE,1118,30,SEMULHER,,0
527,VITAE DOMINI INSTITUTO BRASILEIRO DE DESENVOLVIMENTO SOCIAL,1119,30,SEMULHER,342984.00,25880.33
207,FUNDAÇÃO SETTAPORT DE RESPONSABILIDADE SOCIAL E INTEGRAÇÃO PORTO CIDADE,1121,30,SEMULHER,349842.74,26163.6
108,ASSOCIAÃ‡ÃƒO CASA DA ESPERANÃ‡A,1127,13,SMS,300000.00,25000
6,SANTOS CONVENTION & VISITORS BUREAU,1132,20,SETUR,237870.48,19822.54
493,SOCIEDADE FILANTRÓPICA DAMASCO,1143,12,SEDUC,552741.59,131605.13999999998
93,ASSISTÊNCIA À INFÂNCIA DE SANTOS GOTA DE LEITE,1149,12,SEDUC,1465650.90,348964.5
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,1151,13,SMS,402114.00,33509.5
475,VIDAS RECICLADAS,1152,19,SEDS,454959.78,75826.63
202,EDUCANDÁRIO ANÁLIA FRANCO,1153,19,SEDS,405969.18,15333.78
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,1155,19,SEDS,228237.84,19019.82
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,1157,19,SEDS,68770.46,5730.89
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,1158,19,SEDS,158718.15,13226.54
106,ASSOCIAÇÃO CAMINHO DE SANTA MARIA,1159,11,GPM,,10901.22
110,ASSOCIAÇÃO COMUNITÁRIA PRÓ MORADIA ILHÉUS DA BAIXADA SANTISTA,1160,11,GPM,,10901.22
116,ASSOCIAÇÃO DE MORADORES PRÓ-MELHORAMENTOS DO JARDIM CASTELO,1161,11,GPM,,10901.22
486,SOCIEDADE DE MELHORAMENTOS DO BAIRRO DA PONTA DA PRAIA,1162,11,GPM,,10901.22
