beneficiaria_id,beneficiaria_nome,id,secretaria_id,secretaria_sigla,valor_recurso,valor_repasse
16,GALP - GRUPO AMIGO DO LAR POBRE,68,13,SMS,30227.67,10075.89
114,ASSOCIAÇÃO DE ASSISTÊNCIA SOCIAL EVOLUÇÃO,324,12,SEDUC,1765047.96,459087.56999999995
204,ESCOLA PORTUGUESA,362,12,SEDUC,575062.74,136919.7
204,ESCOLA PORTUGUESA,371,12,SEDUC,575062.74,136919.7
204,ESCOLA PORTUGUESA,379,12,SEDUC,575062.74,150611.67
204,ESCOLA PORTUGUESA,384,12,SEDUC,575062.74,150611.67
114,ASSOCIAÇÃO DE ASSISTÊNCIA SOCIAL EVOLUÇÃO,395,12,SEDUC,1765047.96,0
204,ESCOLA PORTUGUESA,424,12,SEDUC,575062.74,575062.74
119,CEREX - ASSOCIAÇÃO DE PAIS PRÓ CENTRO DE RECUPERAÇÃO PARA EXCEPCIONAIS,457,13,SMS,132012.00,16501.5
204,ESCOLA PORTUGUESA,474,12,SEDUC,,60000
456,GRUPO ESPÍRITA CRISTÃO DE SANTOS - CRECHE IRMÃ SCHEILLA,480,12,SEDUC,,136338.84000000003
456,GRUPO ESPÍRITA CRISTÃO DE SANTOS - CRECHE IRMÃ SCHEILLA,486,12,SEDUC,,521986.3599999999
204,ESCOLA PORTUGUESA,487,22,SEGOV,,0
535,CRECHE ANJOS DO AMANHÃƒ E EDUCAÃ‡ÃƒO INFANTIL,508,12,SEDUC,1107431.77,271568.94
204,ESCOLA PORTUGUESA,509,12,SEDUC,65000.00,65000
539,ASSOCIAÇÃO BALÉ DA CIDADE DE SANTOS,512,16,SECULT,,0
539,ASSOCIAÇÃO BALÉ DA CIDADE DE SANTOS,513,16,SECULT,747000.00,626650
535,CRECHE ANJOS DO AMANHÃƒ E EDUCAÃ‡ÃƒO INFANTIL,521,12,SEDUC,1107431.77,271568.94
119,CEREX - ASSOCIAÇÃO DE PAIS PRÓ CENTRO DE RECUPERAÇÃO PARA EXCEPCIONAIS,524,13,SMS,132012.00,16501.5
527,VITAE DOMINI INSTITUTO BRASILEIRO DE DESENVOLVIMENTO SOCIAL,529,30,SEMULHER,278449.00,19345.75
