beneficiaria_id,beneficiaria_nome,id,secretaria_id,secretaria_sigla,valor_recurso,valor_repasse
457,INSTITUIÇÃO DE ASSISTÊNCIA À CRIANÇA PROFESSORA EDNA SOUZA - IACPES,3768,12,SEDUC,111972310.00,260400.72000000003
453,GBMAR - GRUPAMENTO DE BOMBEIRO MARÍTIMO,3811,17,SESEG,0.00,6000
466,LAR DAS MOÇAS CEGAS,3818,12,SEDUC,3689029.20,866396.1000000001
202,EDUCANDÁRIO ANÁLIA FRANCO,3840,19,SEDS,405969.18,33830.71
189,CENTRO ESPÍRITA ISMÊNIA DE JESUS,3861,12,SEDUC,2039052.96,474198.36
202,EDUCANDÁRIO ANÁLIA FRANCO,3868,12,SEDUC,2048229.75,473961.96
528,INSTITUTO ARTE NO DIQUE,3872,12,SEDUC,3959642.73,920847.1499999999
181,CASA DO PARAPLÃ‰GICO DE SANTOS,3876,19,SEDS,68770.46,5730.89
35,APM DA UME DR ALCIDES LOBO VIANA,3878,12,SEDUC,23712.53,4112
478,PRÃ“ VIVER OBRAS SOCIAIS E EDUCACIONAIS,3879,19,SEDS,106031.13,8835.9
475,VIDAS RECICLADAS,3880,19,SEDS,737008.07,57995.59
207,FUNDAÇÃO SETTAPORT DE RESPONSABILIDADE SOCIAL E INTEGRAÇÃO PORTO CIDADE,3881,30,SEMULHER,29859624.00,0
455,GRUPO DE APOIO À PREVENÇÃO À AIDS DA BAIXADA SANTISTA - GAPA/BS,3887,11,GPM,0.00,60000
6,SANTOS CONVENTION & VISITORS BUREAU,3889,20,SETUR,180000.00,23347.62
460,IHGS - INSTITUTO HISTÓRICO E GEOGRÁFICO DE SANTOS,3890,16,SECULT,120000.00,30000
5,ASILO DE INVÁLIDOS DE SANTOS,3893,19,SEDS,626764.32,52230.36
95,ASPP - ASSISTÃŠNCIA SOCIAL DA PONTA DA PRAIA,3897,12,SEDUC,964486.83,219558.18000000002
560,INSTITUTO NACIONAL DE PESQUISA E GESTAO EM SAUDE - INSAUDE,3914,13,SMS,25097004.00,2988741.67
560,INSTITUTO NACIONAL DE PESQUISA E GESTAO EM SAUDE - INSAUDE,3915,13,SMS,25097004.00,1000000
32,APM DA UME DOS ANDRADAS II,3926,12,SEDUC,29894.40,5184
69,APM DA UME PROFESSOR ANTÔNIO DE OLIVEIRA PASSOS SOBRINHO,3927,12,SEDUC,22051.72,3824
70,APM DA UME PROFESSOR ANTONIO DEMÃ“STENES DE SOUZA BRITTO,3928,12,SEDUC,43457.60,7536
23,APM DA UME PROFESSOR AVELINO DA PAZ VIEIRA,3929,12,SEDUC,32477.88,5632
21,APM DA UME AYRTON SENNA DA SILVA,3930,12,SEDUC,51669.34,8960
24,APM DA UME BARÃO DO RIO BRANCO ,3931,12,SEDUC,48993.60,8496
26,APM DA UME CELY DE MOURA NEGRINI,3932,12,SEDUC,43918.94,7616
27,APM DA UME CIDADE DE SANTOS,3933,12,SEDUC,83132.27,14416
29,APM DA UME COLÉGIO SANTISTA,3934,12,SEDUC,58497.06,10144
33,APM DA UME DOUTOR CYRO DE ATHAYDE CARNEIRO,3935,12,SEDUC,20944.54,3632
41,APM DA UME EDMÉA LADEVIG,3936,12,SEDUC,41427.73,7184
86,APM DA UME PROFESSORA EMÍLIA MARIA REIS,3937,12,SEDUC,53699.20,9312
63,APM DA UME PROFESSOR FLORESTAN FERNANDES,3938,12,SEDUC,56282.66,9760
46,APM DA UME GOTA DE LEITE,3939,12,SEDUC,27956.80,4848
71,APM DA UME PROFESSORA IVETA MESQUITA NOGUEIRA,3940,12,SEDUC,14393.60,2496
537,APM DA UME JOSÉ BONIFÁCIO,3941,12,SEDUC,38106.12,6608
19,APM DA UME DR. JOSÉ CARLOS DE AZEVEDO JÚNIOR,3942,12,SEDUC,79072.52,13712
523,APM DA UME JOSÉ DA COSTA BARBOSA ,3943,12,SEDUC,11124.00,2160
36,APM DA UME DR JOSÉ DA COSTA E SILVA SOBRINHO,3944,12,SEDUC,40874.14,7088
80,APM DA UME PADRE LEONARDO NUNES,3945,12,SEDUC,96510.94,16736
520,APM DA UME PADRE LÚCIO FLORO,3946,12,SEDUC,17899.74,1552
55,APM DA UME LUIZ CARLOS PRESTES,3947,12,SEDUC,20667.74,3584
72,APM DA UME PROFESSORA MAGALI ALONSO,3948,12,SEDUC,15962.14,2768
475,VIDAS RECICLADAS,3950,19,SEDS,909919.56,75826.63
577,GRÊMIO RECREATIVO E CULTURAL ESCOLA DE SAMBA X9,3952,16,SECULT,170000.00,170000
498,USC SAÚDE,3953,13,SMS,4129409.52,430146.83
496,SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,3954,13,SMS,18048546.65,1831050.22
496,SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,3956,13,SMS,18048546.65,300000
477,PRÓ SAÚDE ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA SOCIAL E HOSPITALAR,3959,13,SMS,97015592.80,1929174.98
477,PRÓ SAÚDE ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA SOCIAL E HOSPITALAR,3960,13,SMS,97015592.80,250000
172,ASSOCIAÇÃO FILANTRÓPICA CATÓLICA ORTODOXA,3962,12,SEDUC,1391448.70,321222.18
476,BOMBEIROS - PRIMEIRO SUBGRUPAMENTO DO 6Âº GB,3969,17,SESEG,0.00,20000
463,INSTITUTO SOCIAL HOSPITAL ALEMÃO OSWALDO CRUZ,3973,13,SMS,130961900.00,6868853.75
